director,cast,year,movie_name,rating
Robert Stevenson,"Walter Brennan,Matthew Garber,Karen Dotrice,Richard Deacon,Tom Lowell,Sean McClory,Ed Wynn,Jerome Cowan,Charles Lane,Norman Grabowski,Gil Lamb,Maudie Prickett,Cami Sebring",1967,The Gnome-Mobile,6.5
Randal Kleiser,"Joey Cramer,Paul Reubens,Cliff De Young,Veronica Cartwright,Sarah Jessica Parker,Albie Whitaker,Matt Adler,Howard Hesseman,Robert Small,Jonathan Sanger,Iris Acker,Richard Liberty,Raymond Forchion,Cynthia Caquelin,Ted Bartsch",1986,Flight of the Navigator,6.9
Mikael Salomon,"Reese Witherspoon,Ethan Embry,Jack Thompson,Sarel Bok,Robert John Burke,Patricia Kalember,Daniel Gerroll,Maximilian Schell,Miles Anderson,Fidelis Cheza,Taffy Chihota,Anthony Chinyanga,Brian Cooper,Magdalene Damas,John Indi",1993,A Far Off Place,6.6
"Ron Clements,Burny Mattinson","Vincent Price,Barrie Ingham,Val Bettin,Susanne Pollatschek,Candy Candido,Diana Chesney,Eve Brenner,Alan Young,Basil Rathbone,Laurie Main,Shani Wallis,Ellen Fitzhugh,Walker Edmiston,Wayne Allwine,Tony Anselmo",1986,The Great Mouse Detective,7.2
Vincent McEveety,"Cloris Leachman,Charles Martin Smith,John Vernon,Stephen W. Burns,Elyssa Davalos,Joaquin Garay III,Harvey Korman,Richard Jaeckel,Alex Rocco,Fritz Feld,Vito Scotti,Jose Gonzales-Gonzales,Ruben Moreno,Tina Menard,Jorge Moreno",1980,Herbie Goes Bananas,4.8
Norman Tokar,"Fred MacMurray,Greer Garson,Gladys Cooper,Geraldine Page,Tommy Steele,Hermione Baddeley,John Davidson,Lesley Ann Warren,Paul Petersen,Eddie Hodges,Joyce Bulifant,Sean McClory,Jim McMullan,William Wellman Jr.,Aron Kincaid",1967,The Happiest Millionaire,6.9
Kenny Ortega,"Bette Midler,Sarah Jessica Parker,Kathy Najimy,Omri Katz,Thora Birch,Vinessa Shaw,Amanda Shepherd,Larry Bagby,Tobias Jelinek,Stephanie Faracy,Charles Rocket,Doug Jones,Karyn Malchus,Sean Murray,Steve Voboril",1993,Hocus Pocus,6.7
Vincent McEveety,"Dean Jones,Don Knotts,Julie Sommars,Jacques Marin,Roy Kinnear,Bernard Fox,Eric Braeden,Xavier Saint-Macary,Franois Lalande,Alan Caillou,Laurie Main,Mike Kulcsar,Johnny Haymer,Stanley Brock,Grard Jugnot",1977,Herbie Goes to Monte Carlo,5.5
Randal Kleiser,"Rick Moranis,Marcia Strassman,Robert Oliveri,Daniel Shalikar,Joshua Shalikar,Lloyd Bridges,John Shea,Keri Russell,Ron Canada,Amy O'Neill,Michael Milhoan,Gregory Sierra,Leslie Neale,Julia Sweeney,Linda Carlson",1992,Honey I Blew Up the Kid,4.7
Fletcher Markle,"mile Genest,John Drainie,Tommy Tweed,Sandra Scott,Syme Jago,Marion Finlayson,Ronald Cohoon,Robert Christie,Beth Lockerbie,Jan Rubes,Irna Mayeska,Beth Amos,Eric Clavering,Rex Allen",1963,The Incredible Journey,7.1
Joe Johnston,"Rick Moranis,Matt Frewer,Marcia Strassman,Kristine Sutherland,Thomas Wilson Brown,Jared Rushton,Amy O'Neill,Robert Oliveri,Carl Steven,Mark L. Taylor,Kimmy Robertson,Lou Cutell,Laura Waterbury,Trevor Galtress,Martin Aylett",1989,"Honey, I Shrunk the Kids",6.3
Robert Butler,"Jim Dale,Karen Valentine,Don Knotts,Jack Elam,Darren McGavin,John Williams,Warren Vanders,Debbie Lytton,Michael Sharrett,David S. Cass Sr.,Richard Wright,Don 'Red' Barry,James Van Patten,Gregg Palmer,Ed Bakey",1978,Hot Lead and Cold Feet,6.1
F. Gary Gray,"Samuel L. Jackson,Kevin Spacey,David Morse,Ron Rifkin,John Spencer,J.T. Walsh,Siobhan Fallon Hogan,Paul Giamatti,Regina Taylor,Bruce Beatty,Michael Cudlitz,Carlos Gmez,Tim Kelleher,Dean Norris,Nestor Serrano",1998,The Negotiator,7.3
David Zucker,"Trey Parker,Matt Stone,Dian Bachar,Yasmine Bleeth,Jenny McCarthy,Ernest Borgnine,Robert Vaughn,Trevor Einhorn,Bob Costas,Al Michaels,Robert Stack,Reggie Jackson,Dan Patrick,Kenny Mayne,Tim McCarver",1998,BASEketball,6.6
Robert Stevenson,"Maurice Chevalier,Hayley Mills,George Sanders,Wilfrid Hyde-White,Michael Anderson Jr.,Antonio Cifariello,Keith Hamshere,Wilfrid Brambell,Jack Gwillim,Ronald Fraser,Norman Bird,George Murcell,Inia Te Wiata,Mark Dignam,Michael Wynne",1962,In Search of the Castaways,6.7
Woody Allen,"Mia Farrow,Jeff Daniels,Danny Aiello,Irving Metzman,Stephanie Farrow,David Kieserman,Elaine Grollman,Victoria Zussin,Mark Hammond,Wade Barnes,Joseph G. Graham,Don Quigley,Maurice Brenner,Paul Herman,Rick Petrucelli",1985,The Purple Rose of Cairo,7.8
Sarah Kelly,"Rick Stribling,Ken Bondy,Amy Minda Cohen,Elizabeth Avellan,Dieter Busch,Cecilia Montiel,Greg Nicotero,Victoria Lucai,George Clooney,McPherson O. Downs,Earl Thielen,Michael Parks,Harvey Keitel,Juliette Lewis,Fred Williamson",1997,Full Tilt Boogie,6.5
Jacques Tourneur,"Robert Mitchum,Jane Greer,Kirk Douglas,Rhonda Fleming,Richard Webb,Steve Brodie,Virginia Huston,Paul Valentine,Dickie Moore,Ken Niles",1947,Out of the Past,8.1
Sandra Goldbacher,"Minnie Driver,Tom Wilkinson,Florence Hoath,Jonathan Rhys Meyers,Harriet Walter,Arlene Cockburn,Emma Bird,Adam Levy,Countess Koulinskyi,Bruce Myers,Diana Brooks,Raymond Brody,Olga,Cyril Shaps,Kendal Cramer",1998,The Governess,6.2
David Lean,"Omar Sharif,Julie Christie,Geraldine Chaplin,Rod Steiger,Alec Guinness,Tom Courtenay,Siobhan McKenna,Ralph Richardson,Rita Tushingham,Jeffrey Rockland,Tarek Sharif,Bernard Kay,Klaus Kinski,Grard Tichy,Noel Willman",1965,Doctor Zhivago,8
Peter Masterson,"Geraldine Page,John Heard,Carlin Glynn,Richard Bradford,Rebecca De Mornay,Kevin Cooney,Norman Bennett,Harvey Lewis,Kirk Sisco,Dave Tanner,Gil Glasgow,Mary Kay Mars,Wezz Tildon,Peggy Ann Byers,David Romo",1985,The Trip to Bountiful,7.6
Bruce Beresford,"Robert Duvall,Tess Harper,Betty Buckley,Wilford Brimley,Ellen Barkin,Allan Hubbard,Lenny von Dohlen,Paul Gleason,Michael Crabtree,Norman Bennett,Andrew Scott Hollon,Rick Murray,Stephen Funchess,Glen Fleming,James Aaron",1983,Tender Mercies,7.5
Kevin Reynolds,"Kevin Costner,Judd Nelson,Sam Robards,Chuck Bush,Brian Cesak,Marvin J. McIntyre,Suzy Amis,Glenne Headly,Pepe Serna,Elizabeth Daily,Robyn Rose,Stanley Grover,Jane A. Johnston,Don Brunner,Michael Conn",1985,Fandango,6.7
Roger Spottiswoode,"Matthew Modine,Alan Alda,Patrick Bauchau,Nathalie Baye,Christian Clemenson,David Clennon,Phil Collins,Bud Cort,Alex Courtney,David Dukes,Richard Gere,David Marshall Grant,Ronald Guttman,Glenne Headly,Anjelica Huston",1993,And the Band Played On,7.8
Ingmar Bergman,"Kristina Adolphson,Brje Ahlstedt,Pernilla Allwin,Kristian Almgren,Carl Billquist,Axel Dberg,Allan Edwall,Siv Ericks,Ewa Frling,Patricia Glin,Majlis Granlund,Maria Granlund,Bertil Guve,Eva von Hanno,Sonya Hedenbratt",1982,Fanny and Alexander,8.1
Istvn Szab,"Klaus Maria Brandauer,Krystyna Janda,Ildik Bnsgi,Rolf Hoppe,Gyrgy Cserhalmi,Pter Andorai,Karin Boyd,Christine Harbort,Tams Major,Ildik Kishonti,Mria Bisztrai,Sndor Lukcs,gnes Bnfalvy,Judit Herndi,Vilmos Kun",1981,Mephisto,7.9
Liliana Cavani,"Dirk Bogarde,Charlotte Rampling,Philippe Leroy,Gabriele Ferzetti,Giuseppe Addobbati,Isa Miranda,Nino Bignamini,Marino Mas,Amedeo Amodio,Piero Vida,Geoffrey Copleston,Manfred Freyberger,Ugo Cardea,Hilda Gunther,Nora Ricci",1974,The Night Porter,6.8
Joe Dante,"Tom Hanks,Bruce Dern,Carrie Fisher,Rick Ducommun,Corey Feldman,Wendy Schaal,Henry Gibson,Brother Theodore,Courtney Gains,Gale Gordon,Dick Miller,Robert Picardo,Cory Danziger,Franklyn Ajaye,Rance Howard",1989,The 'Burbs,6.8
David Lynch,"Isabella Rossellini,Kyle MacLachlan,Dennis Hopper,Laura Dern,Hope Lange,Dean Stockwell,George Dickerson,Priscilla Pointer,Frances Bay,Jack Harvey,Ken Stovitz,Brad Dourif,Jack Nance,J. Michael Hunter,Dick Green",1986,Blue Velvet,7.8
Robert Stevenson,"Peter Finch,James MacArthur,Bernard Lee,John Laurie,Niall MacGinnis,Finlay Currie,Miles Malleson,Duncan Macrae,Andrew Cruickshank,Peter O'Toole,Alex Mackenzie,Oliver Johnston,Norman Macowan,Eileen Way,Jack Stewart",1960,Kidnapped,6.8
"Wilfred Jackson,Harve Foster","Ruth Warrick,Bobby Driscoll,James Baskett,Luana Patten,Lucile Watson,Hattie McDaniel,Erik Rolf,Glenn Leedy,Mary Field,Anita Brown,Georgie Nokes,Gene Holland,Nick Stewart,Johnny Lee",1946,Song of the South,7.4
Phillip Borsos,"Mary Steenburgen,Gary Basaraba,Harry Dean Stanton,Arthur Hill,Elisabeth Harnois,Robbie Magwood,Michelle Meyrink,Elias Koteas,Wayne Robson,Jan Rubes,Sarah Polley,Graham Jarvis,Timothy Webber,Joy Thompson,John Friesen",1985,One Magic Christmas,6.7
Xavier Koller,"Adam Beach,Sheldon Peters Wolfchild,Irene Bedard,Eric Schweig,Leroy Peltier,Michael Gambon,Nathaniel Parker,Alex Norton,Mark Margolis,Julian Richings,Mandy Patinkin,Donal Donnelly,Stuart Pankin,Paul Klementowicz,Bray Poor",1994,Squanto: A Warrior's Tale,6.1
Robert Altman,"Robin Williams,Shelley Duvall,Ray Walston,Paul Dooley,Paul L. Smith,Richard Libertini,Donald Moffat,MacIntyre Dixon,Roberta Maxwell,Donovan Scott,Allan F. Nicholls,Wesley Ivan Hurt,Bill Irwin,Robert Fortier,David McCharen",1980,Popeye,5.2
Ron Howard,"Tom Hanks,Daryl Hannah,Eugene Levy,John Candy,Dody Goodman,Shecky Greene,Richard B. Shull,Bobby Di Cicco,Howard Morris,Tony DiBenedetto,Patrick Cronin,Charles Walker,David Knell,Jeff Doucette,Royce D. Applegate",1984,Splash,6.2
Robert Stevenson,"Fred MacMurray,Nancy Olson,Keenan Wynn,Tommy Kirk,Ed Wynn,Charles Ruggles,Leon Ames,Ken Murray,William Demarest,Paul Lynde,Elliott Reid,Bob Sweeney,Joanna Moore,Edward Andrews,James Westerfield",1963,Son of Flubber,6
"Ub Iwerks,Walt Disney",Walt Disney,1928,Steamboat Willie,7.7
"Clyde Geronimi,Wilfred Jackson","Peggy Lee,Larry Roberts,Bill Baucom,Verna Felton,George Givot,Stan Freberg,Lee Millar,Barbara Luddy,Bill Thompson,Dal McKennon,Alan Reed,The Mellomen",1955,Lady and the Tramp,7.4
Thomas Carter,"Robert Sean Leonard,Christian Bale,Frank Whaley,Barbara Hershey,Tushka Bergen,David Tom,Julia Stemberger,Jayce Bartok,Noah Wyle,Johan Leysen,Douglas Roberts,Martin Clunes,Jessica Hynes,Carl Brincat,Mary Fogarty",1993,Swing Kids,6.8
"Hendel Butoy,Mike Gabriel","Bob Newhart,Eva Gabor,John Candy,Tristan Rogers,Adam Ryen,George C. Scott,Douglas Seale,Frank Welker,Bernard Fox,Peter Firth,Billy Barty,Ed Gilbert,Carla Meyer,Russi Taylor,Wayne Robson",1990,The Rescuers Down Under,6.9
Robert Stevenson,"Dean Jones,Tim Conway,Suzanne Pleshette,Keenan Wynn,Jo Anne Worley,Dick Van Patten,Shane Sinutko,Vic Tayback,John Myhers,Richard Bakalyan,Warren Berlinger,Ronnie Schell,Jonathan Daly,John Fiedler,Hans Conried",1976,The Shaggy D.A.,5.7
Jack Clayton,"Jason Robards,Jonathan Pryce,Diane Ladd,Royal Dano,Vidal Peterson,Shawn Carson,Mary Grace Canfield,Richard Davalos,Jake Dengel,Jack Dodson,Bruce M. Fischer,Ellen Geer,Pam Grier,Brendan Klinger,James Stacy",1983,Something Wicked This Way Comes,6.8
Julia Leigh,"Bridgette Barrett,Rachael Blake,Hannah Bella Bowden,Emily Browning,Alan Cardy,Peter Carroll,Les Chantery,Benita Collings,Michael Dorman,Eden Falk,Anni Finsterer,Mirrah Foulkes,James Fraser,Robin Goldsworthy,Vernon Hayman",2011,Sleeping Beauty,5.3
Tim Hunter,"Matt Dillon,Jim Metzler,Meg Tilly,Bill McKinney,Frances Lee McCain,Ben Johnson,Emilio Estevez,Jack Thibeau,Zeljko Ivanek,Tom Virtue,Pamela Ludwig,Jeff Fleury,Suzanne Costollos,Marilyn Redfield,Mark Arnott",1982,Tex,6.6
Carl Reiner,"Steve Martin,Kathleen Turner,David Warner,Paul Benedict,Richard Brestoff,James Cromwell,George Furth,Peter Hobbs,Earl Boen,Bernie Hern,Francis X. McCarthy,William Traylor,Randi Brooks,Bernard Behrens,Russell Orozco",1983,The Man with Two Brains,6.3
Carl Reiner,"Steve Martin,Bernadette Peters,Catlin Adams,Mabel King,Richard Ward,Dick Anthony Williams,Bill Macy,M. Emmet Walsh,Dick O'Neill,Maurice Evans,Helena Carroll,Renn Woods,Pepe Serna,Sonny Terry,Brownie McGhee",1979,The Jerk,7.2
Carl Reiner,"Steve Martin,Rachel Ward,Alan Ladd,Carl Reiner,Barbara Stanwyck,Ray Milland,Ava Gardner,Burt Lancaster,Humphrey Bogart,Cary Grant,Ingrid Bergman,Veronica Lake,Bette Davis,Lana Turner,Edward Arnold",1982,Dead Men Don't Wear Plaid,6.8
,,,Peter Pan (1953),8.1
Lawrence Kasdan,"Danny Glover,Kevin Kline,Steve Martin,Mary McDonnell,Mary-Louise Parker,Alfre Woodard,Jeremy Sisto,Tina Lifford,Patrick Malone,Randle Mell,Sarah Trigger,Destinee DeWalt,Candace Mead,Lauren Mead,Shaun Baker",1991,Grand Canyon,6.9
Francis Ford Coppola,"C. Thomas Howell,Matt Dillon,Ralph Macchio,Patrick Swayze,Rob Lowe,Emilio Estevez,Tom Cruise,Glenn Withrow,Diane Lane,Leif Garrett,Darren Dalton,Michelle Meyrink,Tom Waits,Gailard Sartain,William Smith",1983,The Outsiders,7.2
Ralph S. Singleton,"David Andrews,Kelly Wolf,Stephen Macht,Andrew Divoff,Vic Polizos,Brad Dourif,Robert Alan Beuth,Ilona Margolis,Jimmy Woodard,Jonathan Emerson,Minor Rootes,Kelly L. Goodman,Susan Lowden,Joe Perham,Dana Packard",1990,Graveyard Shift,4.7
Steven Spielberg,"Harrison Ford,Kate Capshaw,Jonathan Ke Quan,Amrish Puri,Roshan Seth,Philip Stone,Roy Chiao,David Yip,Ric Young,Chua Kah Joo,Rex Ngui,Philip Tan,Dan Aykroyd,Akio Mitamura,Michael Yama",1984,Indiana Jones and the Temple of Doom,7.6
Michael Radford,"John Hurt,Richard Burton,Suzanna Hamilton,Cyril Cusack,Gregor Fisher,James Walker,Andrew Wilde,David Trevena,David Cann,Anthony Benson,Peter Frye,Roger Lloyd Pack,Rupert Baderman,Corinna Seddon,Martha Parsey",1984,Nineteen Eighty-Four,7.2
David Cronenberg,"Christopher Walken,Brooke Adams,Tom Skerritt,Herbert Lom,Anthony Zerbe,Colleen Dewhurst,Martin Sheen,Nicholas Campbell,Sean Sullivan,Jackie Burroughs,Gza Kovcs,Roberta Weiss,Simon Craig,Peter Dvorsky,Julie-Ann Heathwood",1983,The Dead Zone,7.2
"Don Bluth,Gary Goldman","Burt Reynolds,Dom DeLuise,Judith Barsi,Melba Moore,Daryl Gilley,Candy Devine,Charles Nelson Reilly,Vic Tayback,Rob Fuller,Earleen Carey,Anna Manahan,Nigel Pegram,Loni Anderson,Ken Page,Godfrey Quigley",1989,All Dogs Go to Heaven,6.7
Stephen King,"Emilio Estevez,Pat Hingle,Laura Harrington,Yeardley Smith,John Short,Ellen McElduff,J.C. Quinn,Christopher Murney,Holter Graham,Frankie Faison,Pat Miller,Jack Canon,Barry Bell,John Brasington,J. Don Ferguson",1986,Maximum Overdrive,5.4
Fraser Clarke Heston,"Max von Sydow,Ed Harris,Bonnie Bedelia,Amanda Plummer,J.T. Walsh,Ray McKinnon,Duncan Fraser,Valri Bromfield,Shane Meier,William Morgan Sheppard,Don S. Davis,Campbell Lane,Eric Schneider,Frank C. Turner,Gillian Barber",1993,Needful Things,6.2
Ulrike Koch,"Margen,Pargen,Zopon,Bopsa",1997,Die Salzmnner von Tibet,7.5
Jesse Peretz,"Natasha Gregson Wagner,Giovanni Ribisi,Robert John Burke,Jeannetta Arnette,Donal Logue,Eli Marienthal,Hugh Joseph Babin,Earl S. Binnings,Howard Barker,Trang Thanh Le,L. Christian Mixon",1997,"First Love, Last Rites",5.6
Andy Tennant,"Drew Barrymore,Anjelica Huston,Dougray Scott,Patrick Godfrey,Megan Dodds,Melanie Lynskey,Timothy West,Judy Parfitt,Jeroen Krabb,Lee Ingleby,Kate Lansbury,Matyelok Gibbs,Walter Sparrow,Jeanne Moreau,Anna Maguire",1998,Ever After: A Cinderella Story,7
Barry Sonnenfeld,"Anjelica Huston,Raul Julia,Christopher Lloyd,Dan Hedaya,Elizabeth Wilson,Judith Malina,Carel Struycken,Dana Ivey,Paul Benedict,Christina Ricci,Jimmy Workman,Christopher Hart,John Franklin,Tony Azito,Douglas Brian Martin",1991,The Addams Family,6.8
John Hamburg,"Sam Rockwell,Steve Zahn,Michael Lerner,Paul Giamatti,Michael Schmidt,Christina Kirk,Mark Ruffalo,Josh Pais,Harvey Fierstein,Michael Showalter,John Hamburg,Raymond Serra,Ray Iannicelli,Ali Marsh,Jacob Reynolds",1998,Safe Men,6.1
Louis Malle,"Burt Lancaster,Susan Sarandon,Kate Reid,Michel Piccoli,Hollis McLaren,Robert Joy,Al Waxman,Robert Goulet,Moses Znaimer,Angus MacInnes,Sean Sullivan,Wallace Shawn,Harvey Atkin,Norma Dell'Agnese,Louis Del Grande",1980,Atlantic City,7.5
Mike Nichols,"Elizabeth Taylor,Richard Burton,George Segal,Sandy Dennis",1966,Who's Afraid of Virginia Woolf?,8.1
"Jim Henson,Frank Oz","Jim Henson,Kathryn Mullen,Frank Oz,Dave Goelz,Steve Whitmire,Louise Gold,Brian Muehl,Bob Payne,Mike Quinn,Tim Rose,Jean-Pierre Amiel,Hugh Spight,Robbie Barnett,Swee Lim,Simon J. Williamson",1982,The Dark Crystal,7.2
Chris Columbus,"Elisabeth Shue,Maia Brewton,Keith Coogan,Anthony Rapp,Calvin Levels,Vincent D'Onofrio,Penelope Ann Miller,George Newbern,John Ford Noonan,Bradley Whitford,Ron Canada,John Davis Chandler,Dan Ziskie,Allan Aarons,Marcia Bennett",1987,Adventures in Babysitting,6.8
Peter Jackson,"Alan Howard,Noel Appleby,Sean Astin,Sala Baker,Sean Bean,Cate Blanchett,Orlando Bloom,Billy Boyd,Marton Csokas,Megan Edwards,Michael Elsworth,Mark Ferguson,Ian Holm,Christopher Lee,Lawrence Makoare",2001,The Lord of the Rings: The Fellowship of the Ring,8.8
John Hughes,"Anthony Michael Hall,Kelly LeBrock,Ilan Mitchell-Smith,Bill Paxton,Suzanne Snyder,Judie Aronson,Robert Downey Jr.,Robert Rusler,Vernon Wells,Britt Leach,Barbara Lang,Michael Berryman,Ivor Barry,Ann Coyle,Suzy J. Kellems",1985,Weird Science,6.6
Gary Winick,"Julia Roberts,Steve Buscemi,John Cleese,Oprah Winfrey,Cedric the Entertainer,Kathy Bates,Reba McEntire,Robert Redford,Thomas Haden Church,Andr Benjamin,Dominic Scott Kay,Sam Shepard,Abraham Benrubi,Dakota Fanning,Kevin Anderson",2006,Charlotte's Web,6.4
"Phil Nibbelink,Simon Wells","Phillip Glasser,James Stewart,Erica Yohn,Cathy Cavadini,Nehemiah Persoff,Dom DeLuise,Amy Irving,John Cleese,Jon Lovitz,Jack Angel,Mickie McGowan,Fausto Bara,Larry Moss,Vanna Bonta,Nigel Pegram",1991,An American Tail: Fievel Goes West,6.4
Martin Rosen,"John Hurt,Richard Briers,Michael Graham Cox,John Bennett,Ralph Richardson,Simon Cadell,Terence Rigby,Roy Kinnear,Richard O'Callaghan,Denholm Elliott,Lynn Farleigh,Mary Maddox,Zero Mostel,Harry Andrews,Hannah Gordon",1978,Watership Down,7.7
Joel Schumacher,"Emilio Estevez,Rob Lowe,Andrew McCarthy,Demi Moore,Judd Nelson,Ally Sheedy,Mare Winningham,Martin Balsam,Andie MacDowell,Joyce Van Patten,Jenny Wright,Blake Clark,Jon Cutler,Matthew Laurance,Gina Hecht",1985,St. Elmo's Fire,6.3
Fritz Kiersch,"Peter Horton,Linda Hamilton,R.G. Armstrong,John Franklin,Courtney Gains,Robby Kiger,Anne Marie McEvoy,Julie Maddalena,Jonas Marlowe,John Philbin,Dan Snook,David Cowen,Suzy Southam,D.G. Johnson,Patrick Boylan",1984,Children of the Corn,5.6
Brian De Palma,"Nicolas Cage,Gary Sinise,John Heard,Carla Gugino,Stan Shaw,Kevin Dunn,Michael Rispoli,Joel Fabiani,Luis Guzmn,David Anthony Higgins,Mike Starr,Tamara Tunie,Chip Zien,Michaella Bassey,Paul Joseph Bernardo",1998,Snake Eyes,5.9
Don Bluth,"Erica Yohn,Nehemiah Persoff,Amy Green,Phillip Glasser,Christopher Plummer,John Finnegan,Will Ryan,Hal Smith,Pat Musick,Cathianne Blore,Neil Ross,Madeline Kahn,Dom DeLuise,Alitzah",1986,An American Tail,6.9
Lewis Teague,"Dee Wallace,Danny Pintauro,Daniel Hugh Kelly,Christopher Stone,Ed Lauter,Kaiulani Lee,Billy Jayne,Mills Watson,Sandy Ward,Jerry Hardin,Merritt Olsen,Arthur Rosenberg,Terry Donovan-Smith,Robert Elross,Robert Behling",1983,Cujo,6
John Hughes,"Molly Ringwald,Justin Henry,Michael Schoeffling,Haviland Morris,Gedde Watanabe,Anthony Michael Hall,Paul Dooley,Carlin Glynn,Blanche Baker,Edward Andrews,Billie Bird,Carole Cook,Max Showalter,Liane Curtis,John Cusack",1984,Sixteen Candles,7.2
Jamie Uys,"Marius Weyers,Sandra Prinsloo,N!xau,Louw Verwey,Michael Thys,Nic de Jager,Fanyana H. Sidumo,Joe Seakatsie,Brian O'Shaughnessy,Ken Gampu,Paddy O'Byrne",1980,The Gods Must Be Crazy,7.3
Tamara Jenkins,"Natasha Lyonne,Alan Arkin,Bryna Weiss,Marisa Tomei,Charlotte Stewart,Eli Marienthal,David Krumholtz,Kevin Corrigan,Brendan Burns,Harris Laskawy,Jessica Walter,Mena Suvari,Marley McClean,Mary Portser,Jock MacDonald",1998,Slums of Beverly Hills,6.6
Ethan Wiley,"Arye Gross,Jonathan Stark,Royal Dano,Bill Maher,John Ratzenberger,Lar Park-Lincoln,Amy Yasbeck,Gregory Walcott,Dwier Brown,Lenora May,Devin DeVasquez,Jayne Modean,Ronn Carroll,Dean Cleverdon,Doug MacHugh",1987,House II: The Second Story,5.4
Howard Deutch,"Molly Ringwald,Harry Dean Stanton,Jon Cryer,Annie Potts,James Spader,Andrew McCarthy,Jim Haynie,Alexa Kenin,Kate Vernon,Andrew Dice Clay,Emily Longstreth,Margaret Colin,Jamie Anders,Gina Gershon,Bader Howar",1986,Pretty in Pink,6.7
Richard Martin,"Tim Conway,Dick Martin,Kevin Zegers,Cynthia Stevenson,Gregory Harrison,Nora Dunn,Perry Anzilotti,Robert Costanzo,Shayn Solberg,Suzanne Ristic,Alyson MacLaren,Tyler Thompson,Rhys Williams,Shahai Khademi,Jason Anderson",1998,Air Bud: Golden Receiver,4.4
Kevin Rodney Sullivan,"Angela Bassett,Taye Diggs,Whoopi Goldberg,Regina King,Suzzanne Douglas,Michael J. Pagan,Sicily Johnson,Richard Lawson,Barry Shabaka Henley,Lee Weaver,Glynn Turman,Phyllis Yvonne Stickney,Denise Hunt,Lisa Hanna,James Pickens Jr.",1998,How Stella Got Her Groove Back,5.5
Michael Chapman,"Daryl Hannah,Pamela Reed,James Remar,Thomas G. Waites,John Doolittle,Curtis Armstrong,Martin Doyle,Adel Hammoud,Tony Montanaro,Mike Muscat,John Wardlow,Keith Wardlow,Karen Elizabeth Austin,Barbara Duncan,Gloria Lee",1986,The Clan of the Cave Bear,5.3
George Miller,"Jonathan Brandis,Kenny Morrison,Clarissa Burt,John Wesley Shipp,Martin Umbach,Alexandra Johnes,Thomas Hill,Helena Michell,Christopher Burton,Patricia Fugger,Birge Schade,Claudio Maniscalco,Andreas Borcherding,Ralf Weikinger,Colin Gilder",1990,The Neverending Story II: The Next Chapter,5
Bigas Luna,"Olivier Martinez,Romane Bohringer,Aitana Snchez-Gijn,Didier Bezace,Aldo Maccione,Jean-Marie Juan,Arno Chevrier,Marianne Groves,Didier Bnureau,Alberto Cassadie,Giorgio Gobbi,Yves Verhoeven,Enzo De Caro,Salvador Madrid,Barbara Lerici",1997,The Chambermaid on the Titanic,6.8
Roman Polanski,"Mia Farrow,John Cassavetes,Ruth Gordon,Sidney Blackmer,Maurice Evans,Ralph Bellamy,Victoria Vetri,Patsy Kelly,Elisha Cook Jr.,Emmaline Henry,Charles Grodin,Hanna Hertelendy,Phil Leeds,D'Urville Martin,Hope Summers",1968,Rosemary's Baby,8
Pupi Avati,"Diego Abatantuono,Ins Sastre,Dario Cantarelli,Cinzia Mascoli,Valeria D'Obici,Mario Erpichini,Ada Maria Serra Zanetti,Ugo Conti,Nini Salerno,Alessandra Chiti,Carmela Vincenti,Serena Bennato,Marcello Foschini,Barbara Orsani,Umberto Bortolani",1997,The Best Man,6.3
John McNaughton,"Mary Demas,Michael Rooker,Anne Bartoletti,Elizabeth Kaden,Ted Kaden,Denise Sullivan,Anita Ores,Megan Ores,Cheri Jones,Monica Anne O'Malley,Bruce Quist,Erzsebet Sziky,Tracy Arnold,Tom Towles,David Katz",1986,Henry: Portrait of a Serial Killer,7
John De Bello,"David Miller,George Wilson,Sharon Taylor,J. Stephen Peace,Ernie Meyers,Eric Christmas,Ron Shapiro,Al Sklar,Jerrold Anderson,Don Birch,Tom Coleman,Art K. Koustik,Jack Nolen,Paul Oya,John Qualls",1978,Attack of the Killer Tomatoes!,4.6
Stephen Norrington,"Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright,Donal Logue,Udo Kier,Arly Jover,Traci Lords,Kevin Patrick Walls,Tim Guinee,Sanaa Lathan,Eric Edwards,Donna Wong,Carmen Thomas,Shannon Lee",1998,Blade,7.1
Peter George,"Gail Neely,Robert Harden,Barry Brenner,Dawn Wildsmith,Michael Sonye,Joel Hile,Gene Mitchell,Tom Shell,Bobbie Bresee,Tom Demenkoff,John Williamette,Rand Hogen,Daniel Kong,Steve Reid,Terry Lee",1987,Surf Nazis Must Die,3.4
Randa Haines,"Vanessa Williams,Chayanne,Kris Kristofferson,Joan Plowright,Jane Krakowski,Beth Grant,Harry Groener,William Marquez,Scott Paetty,Rick Valenzuela,Chaz Oswill,Liz Curtis,Bill Applebaum,Angelo Pagan,Victor Marcel",1998,Dance with Me,5.8
Alan Cohn,"Tom Everett Scott,Mark-Paul Gosselaar,Poppy Montgomery,Lochlyn Munro,Randy Pearlstein,Corey Page,Alyson Hannigan,Mari Morrow,Dave Ruby,Mark Carapezza,Jeff Tarpley,Jason Segel,Linda Cardellini,Aeryk Egan,Judyann Elder",1998,Dead Man on Campus,6
